	input	filtered	denoisedF	denoisedR	merged	nonchim
CB-T1	3387	310	300	296	288	287
CB-T2	3372	280	254	256	235	233
SB1-Sauv0	52216	33540	33417	33412	33039	29381
SB10-Mut0	51616	34243	34163	34095	33393	25965
SB11-Mut0	55522	31251	31054	31013	29780	19933
SB12-Mut0	54443	34865	34774	34772	34546	30496
SB13-Sauv50	43507	28385	28273	28260	27669	21865
SB14-Sauv50	47370	30786	30709	30721	30478	29283
SB15-Sauv50	49012	31699	31553	31557	30901	25303
SB16-Sauv50	48711	31503	31408	31370	30935	26833
SB17-Sauv50	52227	34457	34312	34305	33409	24189
SB18-Sauv50	61011	34284	34065	34072	33321	26678
SB19-Mut50	37205	25489	25240	25357	23743	18569
SB2-Sauv0	51267	33157	33070	33016	32574	24323
SB20-Mut50	52823	35505	35288	35262	34137	30789
SB21-Mut50	40703	27364	27107	27164	25203	21035
SB22-Mut50	45061	30662	30416	30524	29102	25384
SB23-Mut50	49350	31018	30824	30908	29992	28183
SB24-Mut50	50890	33112	32880	32963	32111	30887
SB3-Sauv0	54985	35040	34991	34970	34906	34536
SB4-Sauv0	42181	25370	25267	25273	25036	22136
SB5-Sauv0	57889	33101	32991	32996	32702	30237
SB6-Sauv0	45269	30291	30201	30193	29865	27821
SB7-Mut0	45565	30758	30605	30566	29717	23140
SB8-Mut0	51038	31129	31050	31043	30776	29134
SB9-Mut0	59793	37515	37319	37272	36084	27384
