	Observed	Shannon
SB1.Sauv0	41	1.47747487480583
SB10.Mut0	40	2.07309773714079
SB11.Mut0	51	2.17827998602791
SB12.Mut0	38	2.11649668870246
SB13.Sauv50	46	2.69063769880293
SB14.Sauv50	57	2.90475800987501
SB15.Sauv50	50	2.79272028108198
SB16.Sauv50	52	2.80034936739092
SB17.Sauv50	49	2.62431320226266
SB18.Sauv50	54	2.83118497903182
SB19.Mut50	66	2.63795959965715
SB2.Sauv0	26	2.09859013211172
SB20.Mut50	72	2.72144653147579
SB21.Mut50	79	3.06214138617574
SB22.Mut50	81	2.8096575960063
SB23.Mut50	84	3.17474186259088
SB24.Mut50	90	3.14792085993013
SB3.Sauv0	19	0.196231065154139
SB4.Sauv0	41	2.51997842885886
SB5.Sauv0	46	1.9230446129174
SB6.Sauv0	46	1.06693805388195
SB7.Mut0	33	2.25591353188859
SB8.Mut0	58	2.08863906101534
SB9.Mut0	50	2.23743848865899
